Seed	Class	Train Time
0	0	13.511499643325806
0	1	1.131000280380249
0	2	78.64039969444275
1	0	16.254000186920166
1	1	2.761497735977173
1	2	76.95449924468994
2	0	32.98249840736389
2	1	1.1665003299713135
2	2	77.43449807167053
3	0	12.151066064834595
3	1	1.0455005168914795
3	2	5.637997388839722
4	0	9.215500116348267
4	1	1.4635021686553955
4	2	76.61149764060974
5	0	76.40649962425232
5	1	1.4614994525909424
5	2	76.90549945831299
6	0	16.95199942588806
6	1	1.6380000114440918
6	2	2.9344992637634277
7	0	38.82700037956238
7	1	1.0635004043579102
7	2	27.069002866744995
8	0	10.766000986099243
8	1	1.6819982528686523
8	2	3.910000801086426
9	0	4.454500436782837
9	1	1.3154995441436768
9	2	76.93350028991699
10	0	21.596999168395996
10	1	1.8665001392364502
10	2	0.905998945236206
11	0	7.763997793197632
11	1	1.7619984149932861
11	2	47.338499546051025
12	0	9.010002851486206
12	1	1.2939956188201904
12	2	76.53549718856812
13	0	8.521000146865845
13	1	4.644497632980347
13	2	76.62800288200378
14	0	24.78000044822693
14	1	1.27950119972229
14	2	5.532000303268433
15	0	18.236002922058105
15	1	0.4074974060058594
15	2	75.64349913597107
16	0	30.06656765937805
16	1	1.2129998207092285
16	2	76.80000042915344
17	0	7.326998710632324
17	1	3.6325018405914307
17	2	76.87084174156189
18	0	11.209125280380249
18	1	1.1441152095794678
18	2	76.21465110778809
19	0	13.422348260879517
19	1	0.7125716209411621
19	2	76.70570349693298
20	0	7.0712080001831055
20	1	1.3191320896148682
20	2	76.96572875976562
21	0	37.20923614501953
21	1	2.319733142852783
21	2	77.07173752784729
22	0	12.951300859451294
22	1	1.5996599197387695
22	2	76.84221625328064
23	0	8.69787335395813
23	1	0.9330973625183105
23	2	50.771597146987915
24	0	6.934199571609497
24	1	1.046105146408081
24	2	72.07823777198792
25	0	12.928295135498047
25	1	1.0376043319702148
25	2	60.40206503868103
26	0	18.82138967514038
26	1	0.9630939960479736
26	2	77.19375085830688
27	0	9.50045394897461
27	1	1.037604570388794
27	2	3.719273328781128
28	0	5.099934101104736
28	1	0.8970704078674316
28	2	76.88963627815247
29	0	19.95046353340149
29	1	0.9940712451934814
29	2	76.55511450767517
30	0	6.409469127655029
30	1	2.1966607570648193
30	2	76.87513470649719
31	0	8.818645477294922
31	1	1.0860767364501953
31	2	76.100581407547
32	0	9.87522554397583
32	1	2.334672212600708
32	2	76.3300952911377
33	0	12.208395004272461
33	1	1.370100498199463
33	2	76.51110768318176
34	0	16.53371238708496
34	1	1.640120029449463
34	2	3.7757315635681152
35	0	26.59643292427063
35	1	1.191563367843628
35	2	0.5105283260345459
36	0	12.291663408279419
36	1	2.0321102142333984
36	2	76.91164517402649
37	0	3.3411808013916016
37	1	1.101560115814209
37	2	77.17765879631042
38	0	6.164833307266235
38	1	2.8961551189422607
38	2	77.11965250968933
39	0	10.500064611434937
39	1	1.6480910778045654
39	2	76.89464259147644
40	0	6.328344106674194
40	1	0.3625197410583496
40	2	2.354125738143921
41	0	35.206395864486694
41	1	1.6965692043304443
41	2	53.890655279159546
42	0	16.232649326324463
42	1	2.5240986347198486
42	2	66.81667017936707
43	0	9.587383270263672
43	1	1.80857253074646
43	2	77.10158467292786
44	0	10.484921932220459
44	1	1.4740591049194336
44	2	76.88757491111755
45	0	15.773130416870117
45	1	0.9945392608642578
45	2	76.73807048797607
46	0	5.557221412658691
46	1	0.9995431900024414
46	2	1.8995788097381592
47	0	21.284353733062744
47	1	2.0085830688476562
47	2	77.29287481307983
48	0	27.43682622909546
48	1	1.6710524559020996
48	2	77.04331731796265
49	0	26.788305044174194
49	1	1.6055493354797363
49	2	77.45832943916321
50	0	7.6092283725738525
50	1	1.7340495586395264
50	2	77.29832673072815
51	0	29.46138644218445
51	1	0.4110124111175537
51	2	77.38683271408081
52	0	5.811675310134888
52	1	1.1655354499816895
52	2	1.9020578861236572
53	0	21.450645923614502
53	1	0.9530298709869385
53	2	0.600517988204956
54	0	11.549266576766968
54	1	2.413055419921875
54	2	77.4477801322937
55	0	10.108733415603638
