Seed	Class	Mean	Std
40	2	[0.00768968 0.0666107  0.92569962]	[0.07119078 0.24346009 0.25182352]
41	0	[6.86994867e-01 9.24850347e-07 3.13004220e-01]	[4.63704872e-01 8.67649247e-06 4.63703491e-01]
41	1	[0.1672555  0.48228931 0.35045519]	[0.3666049  0.49741225 0.47207926]
41	2	[0.00722881 0.25129288 0.74147832]	[0.06467787 0.43175855 0.43374812]
42	0	[1.00000000e+00 0.00000000e+00 3.49732315e-32]	[0. 0. 0.]
42	1	[0.03191641 0.61106292 0.35702067]	[0.14549345 0.483548   0.4683473 ]
42	2	[0.08631181 0.44148573 0.47220246]	[0.1925457  0.47070921 0.43047308]
43	0	[1.00000000e+00 4.29616043e-15 3.05332080e-08]	[0. 0. 0.]
43	1	[0.00790775 0.54750484 0.44458742]	[0.05644852 0.49363464 0.48870899]
43	2	[0. 0. 1.]	[0. 0. 0.]
44	0	[9.99000000e-01 1.10820387e-09 1.00002560e-03]	[3.16069612e-02 3.50249665e-08 3.16069265e-02]
44	1	[0.07944353 0.3578013  0.56275518]	[0.24136221 0.46953367 0.47269086]
44	2	[1. 0. 0.]	[0. 0. 0.]
45	0	[7.87077354e-01 1.06082414e-05 2.12912035e-01]	[4.08202548e-01 3.33544106e-04 4.08182606e-01]
45	1	[0.02956478 0.3630934  0.60734182]	[0.12495932 0.47519481 0.46947445]
45	2	[9.04346561e-02 9.53426605e-06 9.09555811e-01]	[0.28223775 0.00029816 0.28226832]
46	0	[7.17553326e-01 1.17803656e-05 2.82434898e-01]	[4.47922742e-01 1.97004992e-05 4.47904164e-01]
46	1	[0.07961128 0.53495084 0.38543788]	[0.25765045 0.49614504 0.47928748]
46	2	[0.19026662 0.00170226 0.80803113]	[0.38922035 0.0313535  0.38974708]
47	0	[1.00000000e+00 7.46636485e-19 9.65615365e-11]	[0. 0. 0.]
47	1	[0.01676799 0.26824833 0.71498369]	[0.08398333 0.43650012 0.43529764]
47	2	[9.89003052e-01 1.01688376e-15 1.09969475e-02]	[1.04273512e-01 1.85378031e-14 1.04273511e-01]
48	0	[1.00000000e+00 0.00000000e+00 6.68379981e-34]	[0. 0. 0.]
48	1	[0.02624056 0.30920223 0.66455721]	[0.12254168 0.45871242 0.45807765]
48	2	[1. 0. 0.]	[0. 0. 0.]
49	0	[1.00000000e+00 0.00000000e+00 8.72952891e-41]	[0. 0. 0.]
49	1	[0.00686287 0.95385773 0.0392794 ]	[0.07254297 0.19974645 0.18373402]
49	2	[4.47566833e-21 9.84983871e-01 1.50161296e-02]	[1.41462275e-19 1.21551183e-01 1.21551183e-01]
50	0	[1.00000000e+00 0.00000000e+00 1.99873357e-35]	[0. 0. 0.]
50	1	[0.0207516  0.95815484 0.02109356]	[0.12564367 0.17837312 0.11009677]
50	2	[1. 0. 0.]	[0. 0. 0.]
51	0	[1.00000000e+00 0.00000000e+00 7.67763689e-36]	[0. 0. 0.]
51	1	[1.96890684e-04 7.56707426e-01 2.43095684e-01]	[0.00080635 0.38378212 0.38364332]
51	2	[0. 0. 1.]	[0. 0. 0.]
52	0	[9.79174355e-01 8.30600677e-04 1.99950632e-02]	[0.14229316 0.02608462 0.13996258]
52	1	[0.00659186 0.59149131 0.40191683]	[0.04827167 0.48611981 0.48069511]
52	2	[0.00580668 0.13621433 0.85797899]	[0.04397305 0.33957376 0.34050919]
53	0	[1.0000000e+00 0.0000000e+00 5.8536724e-33]	[0. 0. 0.]
53	1	[0.4066965  0.10106473 0.49223877]	[0.48074615 0.29058372 0.48549775]
53	2	[0.04856314 0.06663159 0.88480524]	[0.20520603 0.24280312 0.3093867 ]
54	0	[1.0000000e+00 0.0000000e+00 3.0956787e-33]	[0. 0. 0.]
54	1	[0.05381268 0.52420477 0.42198255]	[0.2063589  0.49459755 0.48139669]
54	2	[0.08944352 0.84159486 0.06896162]	[0.2792311  0.35208274 0.2404289 ]
