Seed	Class	Train Time
0	1	32.95260810852051
0	2	32.358603954315186
0	3	1.087003469467163
0	4	27.92358946800232
1	1	32.125102043151855
1	2	32.86810517311096
1	3	1.1745052337646484
1	4	28.194090366363525
2	1	32.10760283470154
2	2	32.62860107421875
2	3	1.0965030193328857
2	4	28.040590047836304
3	1	32.130101680755615
3	2	33.22410607337952
3	3	1.1265034675598145
3	4	27.764589071273804
4	1	32.09759998321533
4	2	32.77660584449768
4	3	1.1040034294128418
4	4	28.259592294692993
5	1	32.34209132194519
5	2	33.055076360702515
5	3	1.113501787185669
5	4	28.09756302833557
6	1	32.28457498550415
6	2	32.65307688713074
6	3	1.7570030689239502
6	4	27.953064680099487
7	1	31.886070251464844
7	2	32.75457453727722
7	3	1.1085026264190674
7	4	28.029065370559692
8	1	32.17557430267334
8	2	33.24157738685608
8	3	1.1420018672943115
8	4	28.155064582824707
9	1	32.320075035095215
9	2	33.084577322006226
9	3	1.1235029697418213
9	4	28.594566822052002
10	1	34.44807767868042
10	2	34.50559949874878
10	3	1.1500024795532227
10	4	30.521570682525635
11	1	34.51557946205139
11	2	33.839576721191406
11	3	1.15350341796875
11	4	29.57906723022461
12	1	33.72607755661011
12	2	35.773568630218506
12	3	1.1310019493103027
12	4	32.28404974937439
13	1	35.20155644416809
13	2	34.953057289123535
13	3	1.156001329421997
13	4	29.5375497341156
14	1	34.345555782318115
14	2	35.00105547904968
14	3	1.2145018577575684
14	4	29.709047317504883
15	1	34.02305459976196
15	2	34.69605565071106
15	3	1.164003849029541
15	4	29.759048223495483
16	1	34.296056270599365
16	2	34.75355577468872
16	3	1.1649999618530273
16	4	29.659048080444336
17	1	34.070058822631836
17	2	34.69255447387695
17	3	1.1780023574829102
17	4	29.624547004699707
18	1	34.08805203437805
18	2	35.48955726623535
18	3	1.1185011863708496
18	4	29.93854784965515
19	1	33.916555881500244
19	2	34.332043409347534
19	3	1.129002571105957
19	4	29.390034675598145
20	1	33.89254093170166
20	2	34.70854163169861
20	3	1.1310014724731445
20	4	29.36503529548645
21	1	34.564541816711426
21	2	35.30254340171814
21	3	1.1405012607574463
21	4	29.752535820007324
22	1	34.57054138183594
22	2	34.79354190826416
22	3	1.1544983386993408
22	4	29.63153624534607
23	1	33.13454031944275
23	2	33.68804121017456
23	3	1.1150014400482178
23	4	27.92253351211548
24	1	32.531038761138916
24	2	31.87703847885132
24	3	1.1730003356933594
24	4	27.59903335571289
25	1	30.969890117645264
25	2	31.68641710281372
25	3	1.1215503215789795
25	4	27.213716745376587
26	1	31.110869884490967
26	2	32.01943802833557
26	3	1.143049716949463
26	4	27.1237154006958
27	1	30.721874952316284
27	2	31.618417024612427
27	3	1.1700525283813477
27	4	27.067709922790527
28	1	30.85238218307495
28	2	31.36140489578247
28	3	1.1200506687164307
28	4	26.925708770751953
29	1	30.790879011154175
29	2	31.55091381072998
29	3	1.1200506687164307
29	4	27.00270962715149
30	1	30.835381269454956
30	2	31.514872312545776
30	3	1.119537353515625
30	4	27.07440185546875
31	1	30.669023275375366
31	2	31.277042627334595
31	3	1.13554048538208
31	4	27.025901556015015
32	1	31.15803861618042
32	2	31.223038911819458
32	3	1.113537073135376
32	4	26.931899309158325
33	1	30.7120258808136
33	2	31.46054768562317
33	3	1.10003662109375
33	4	26.953396320343018
34	1	30.6080219745636
34	2	31.444048643112183
34	3	1.1770377159118652
34	4	26.904395580291748
35	1	30.881528854370117
35	2	31.359044313430786
35	3	1.1190361976623535
35	4	26.80939221382141
36	1	30.943532943725586
36	2	31.436047554016113
36	3	1.1165382862091064
36	4	26.87189483642578
37	1	30.813526153564453
37	2	31.43654775619507
37	3	1.144538164138794
37	4	27.062901496887207
38	1	30.70402216911316
38	2	31.377044677734375
38	3	1.122537612915039
38	4	27.011396884918213
39	1	30.747769117355347
39	2	31.404284954071045
39	3	1.1625292301177979
39	4	26.99067449569702
40	1	30.763769388198853
40	2	31.494787454605103
40	3	1.1310276985168457
40	4	27.107677936553955
41	1	31.199779748916626
41	2	31.456785440444946
41	3	1.103527545928955
41	4	27.031672716140747
42	1	31.000273942947388
42	2	31.46678352355957
42	3	1.108027696609497
42	4	26.88367486000061
43	1	30.452261686325073
43	2	31.27528405189514
43	3	1.1320273876190186
43	4	27.106677532196045
44	1	30.888271808624268
44	2	31.44528889656067
44	3	1.1160264015197754
44	4	27.172179698944092
45	1	30.982274770736694
45	2	31.614290952682495
45	3	1.1135280132293701
45	4	27.001173496246338
46	1	31.03727674484253
46	2	31.652291536331177
46	3	1.162527084350586
46	4	26.99517512321472
47	1	31.144649028778076
47	2	31.589602947235107
47	3	1.1150214672088623
47	4	26.946514129638672
48	1	30.97609233856201
48	2	31.478101015090942
48	3	1.1160235404968262
48	4	27.03601622581482
49	1	30.996592044830322
49	2	31.48159909248352
49	3	1.0880205631256104
49	4	27.01151442527771
50	1	31.32809805870056
50	2	31.585103273391724
50	3	1.1595206260681152
50	4	27.04901385307312
51	1	31.37059736251831
51	2	31.360599756240845
51	3	1.1155214309692383
51	4	26.995015144348145
52	1	30.98459267616272
52	2	31.425602197647095
52	3	1.0920178890228271
52	4	26.968014240264893
53	1	30.991591453552246
53	2	31.415101051330566
53	3	1.1180222034454346
53	4	27.014018058776855
54	1	30.965593814849854
54	2	31.45460343360901
54	3	1.11802339553833
54	4	27.23902177810669
55	1	30.92109179496765
55	2	31.496986150741577
55	3	1.1455152034759521
55	4	26.894901037216187
56	1	30.971960067749023
56	2	31.578970193862915
56	3	1.133016586303711
56	4	27.114903688430786
57	1	30.96696186065674
57	2	31.53646993637085
57	3	1.1195194721221924
57	4	27.227405786514282
