Seed	Class	Train Time
0	1	12.981498956680298
0	2	23.66645884513855
0	3	23.325501918792725
0	4	23.31000018119812
1	1	17.293999671936035
1	2	23.41252040863037
1	3	23.066500425338745
1	4	23.241496324539185
2	1	12.655546188354492
2	2	20.94049882888794
2	3	23.633500576019287
2	4	23.519999265670776
3	1	17.370999097824097
3	2	15.95000147819519
3	3	23.41899847984314
3	4	23.702500104904175
4	1	10.719001054763794
4	2	23.45299792289734
4	3	23.49600052833557
4	4	23.647499322891235
5	1	7.20949912071228
5	2	23.11850094795227
5	3	23.389999628067017
5	4	23.40800142288208
6	1	6.185501575469971
6	2	20.085000038146973
6	3	23.727499961853027
6	4	23.667969226837158
7	1	13.729999780654907
7	2	23.405000686645508
7	3	23.50249719619751
7	4	23.41649627685547
8	1	12.344998598098755
8	2	23.40600275993347
8	3	23.418501377105713
8	4	23.473501205444336
9	1	1.78049898147583
9	2	7.829996585845947
9	3	23.79300045967102
9	4	23.754000425338745
10	1	1.663503885269165
10	2	25.014999389648438
10	3	25.048501014709473
10	4	25.1085467338562
11	1	12.095496416091919
11	2	24.9585018157959
11	3	24.93849754333496
11	4	25.16450047492981
12	1	4.742499828338623
12	2	24.991698741912842
12	3	25.080499172210693
12	4	25.01300024986267
13	1	18.326000452041626
13	2	24.907994508743286
13	3	25.03600025177002
13	4	25.212499856948853
14	1	7.815500736236572
14	2	25.598499536514282
14	3	27.25800085067749
14	4	25.082000017166138
15	1	4.1765031814575195
15	2	10.222002983093262
15	3	25.103504180908203
15	4	25.137499809265137
16	1	1.223501205444336
16	2	24.775999546051025
16	3	24.744499444961548
16	4	24.97899866104126
17	1	1.4115030765533447
17	2	25.30500054359436
17	3	25.183001041412354
17	4	25.068504333496094
18	1	2.7384979724884033
18	2	24.945000648498535
18	3	25.026002168655396
18	4	24.833000659942627
19	1	13.311001300811768
19	2	24.783500909805298
19	3	24.83050036430359
19	4	24.987500429153442
20	1	7.843502998352051
20	2	25.151498079299927
20	3	25.263499975204468
20	4	25.19450044631958
21	1	15.887501955032349
21	2	25.071998119354248
21	3	25.296502113342285
21	4	25.00649642944336
22	1	6.012500047683716
22	2	25.3394992351532
22	3	24.988998889923096
22	4	24.808504104614258
23	1	13.353503465652466
23	2	25.145000457763672
23	3	24.968502283096313
23	4	24.98749589920044
24	1	6.300497055053711
24	2	15.451499938964844
24	3	25.34149742126465
24	4	24.999000787734985
25	1	4.422455787658691
25	2	25.422499656677246
25	3	25.198999166488647
25	4	25.263499975204468
26	1	3.7870004177093506
26	2	25.246000051498413
26	3	25.467499256134033
26	4	25.332000017166138
27	1	16.224003076553345
27	2	25.545500993728638
27	3	25.417997360229492
27	4	25.65999960899353
28	1	3.1659998893737793
